10, ชัยภูมิ ,"262,012","866,285","8,714,428,241","33,260","13,952,809,560","53,253","4,494,336,626","17,153","5,974,775,003","22,803","33,136,099,441","126,468","38,251"
11, ชุมพร ,"101,288","293,495","4,763,260,539","47,027","7,704,353,834","76,064","1,882,144,106","18,582","1,640,128,657","16,193","15,989,887,117","157,866","54,481"
12, เชียงราย ,"297,147","870,526","9,075,059,653","30,541","18,361,462,046","61,793","4,415,999,571","14,861","5,574,227,114","18,759","37,426,582,381","125,953","42,993"
13, เชียงใหม่ ,"379,213","1,087,164","10,047,825,023","26,497","30,714,178,941","80,995","5,846,672,638","15,418","5,115,816,555","13,491","51,724,413,124","136,399","47,577"
14, ตรัง ,"133,592","437,565","3,467,867,390","25,959","11,378,349,545","85,172","2,511,006,831","18,796","1,748,665,872","13,090","19,105,671,121","143,015","43,664"
15, ตราด ,"48,010","139,047","1,787,541,699","37,233","4,004,911,917","83,418","786,294,947","16,378","664,334,189","13,837","7,243,082,741","150,866","52,091"
16, ตาก ,"119,561","346,385","3,377,806,289","28,252","6,854,790,216","57,333","1,662,272,617","13,903","1,573,847,080","13,164","13,468,656,182","112,651","38,883"
17, นครนายก ,"56,512","176,632","1,868,222,940","33,059","4,797,878,282","84,900","1,274,986,938","22,561","605,937,911","10,722","8,547,026,062","151,243","48,389"
18, นครปฐม ,"157,210","535,226","6,579,787,908","41,853","18,906,072,131","120,260","3,546,353,028","22,558","1,451,549,431","9,233","30,483,131,991","193,901","56,954"
19, นครพนม ,"167,167","541,567","4,564,447,550","27,305","8,531,788,236","51,038","2,811,921,421","16,821","3,221,630,784","19,272","19,129,767,991","114,435","35,323"
20, นครราชสีมา ,"669,011","1,958,001","21,623,251,234","32,321","47,066,090,620","70,352","13,939,253,494","20,836","14,015,231,005","20,949","96,643,602,807","144,457","49,358"
21, นครศรีธรรมราช ,"318,805","991,685","9,644,848,621","30,253","25,864,066,672","81,128","7,178,320,468","22,516","4,041,002,305","12,675","46,728,154,102","146,573","47,120"
22, นครสวรรค์ ,"254,551","741,479","11,406,677,302","44,811","17,784,605,445","69,867","5,042,102,191","19,808","5,840,622,565","22,945","40,073,945,100","157,430","54,046"
23, นนทบุรี ,"153,518","380,479","3,339,170,176","21,751","24,140,538,494","157,249","3,603,550,267","23,473","1,877,633,998","12,231","32,960,595,054","214,702","86,629"
24, นราธิวาส ,"143,181","536,915","3,216,422,969","22,464","11,834,372,703","82,653","3,099,135,317","21,645","812,879,644","5,677","18,962,603,441","132,438","35,318"
25, น่าน ,"110,609","362,356","3,776,833,542","34,146","6,415,688,926","58,003","1,401,113,958","12,667","3,713,284,942","33,571","15,306,921,353","138,388","42,243"
26, บึงกาฬ ,"90,899","313,849","3,444,233,082","37,891","4,926,437,153","54,197","1,779,057,298","19,572","2,145,006,793","23,598","12,294,734,330","135,257","39,174"
27, บุรีรัมย์ ,"340,495","1,101,874","10,734,209,450","31,525","19,063,223,227","55,987","5,981,162,844","17,566","8,346,341,617","24,512","44,124,781,140","129,590","40,045"
28, ปทุมธานี ,"221,965","561,448","5,563,784,830","25,066","31,418,422,590","141,547","6,938,562,032","31,260","4,129,540,803","18,604","48,050,310,032","216,477","85,583"
29, ประจวบคีรีขันธ์ ,"107,712","316,480","4,173,185,408","38,744","9,293,952,854","86,285","2,416,395,574","22,434","1,345,101,320","12,488","17,228,635,153","159,951","54,438"
30, ปราจีนบุรี ,"112,936","355,767","3,273,622,823","28,987","10,884,319,613","96,376","2,516,311,297","22,281","2,334,711,705","20,673","19,008,861,417","168,315","53,431"
31, ปัตตานี ,"124,856","476,354","2,763,535,331","22,134","10,834,090,094","86,773","2,463,360,206","19,730","672,160,311","5,383","16,733,095,977","134,019","35,127"
32, พระนครศรีอยุธยา ,"177,442","550,126","4,199,490,472","23,667","20,888,310,703","117,719","3,899,123,624","21,974","1,516,508,820","8,547","30,502,938,608","171,904","55,447"
33, พะเยา ,"117,529","346,245","4,263,114,370","36,273","6,706,060,408","57,059","2,465,306,001","20,976","3,003,148,118","25,552","16,437,538,944","139,859","47,474"
34, พังงา ,"55,788","177,010","2,702,820,138","48,448","5,045,333,561","90,438","1,006,981,720","18,050","819,861,806","14,696","9,574,997,244","171,632","54,093"
35, พัทลุง ,"131,716","401,024","4,063,558,081","30,851","9,590,753,479","72,814","2,338,484,409","17,754","2,295,106,685","17,425","18,287,862,681","138,843","45,603"
36, พิจิตร ,"122,998","367,904","6,182,287,401","50,263","7,323,112,511","59,538","2,074,057,854","16,863","3,190,529,897","25,940","18,769,947,686","152,604","51,019"
37, พิษณุโลก ,"183,911","558,325","7,780,627,456","42,306","12,233,509,118","66,519","3,288,994,043","17,884","4,958,224,598","26,960","28,261,285,208","153,668","50,618"
38, เพชรบุรี ,"100,475","328,232","3,311,566,296","32,959","9,168,557,473","91,252","2,434,909,876","24,234","1,224,865,944","12,191","16,139,859,584","160,636","49,172"
39, เพชรบูรณ์ ,"239,125","766,634","9,431,807,559","39,443","14,885,034,667","62,248","4,370,291,116","18,276","6,547,619,029","27,382","35,234,847,422","147,349","45,960"
40, แพร่ ,"118,794","351,450","2,958,061,342","24,901","8,564,923,587","72,099","2,019,897,161","17,003","1,965,238,064","16,543","15,508,120,140","130,546","44,126"
41, ภูเก็ต ,"87,140","210,741","810,326,398","9,299","13,410,115,104","153,892","1,220,379,268","14,005","222,387,929","2,552","15,663,208,762","179,748","74,324"
42, มหาสารคาม ,"219,269","746,001","7,005,409,042","31,949","12,360,022,968","56,369","4,448,377,487","20,287","6,536,079,394","29,808","30,349,734,924","138,413","40,683"
43, มุกดาหาร ,"87,742","275,016","3,094,893,416","35,273","5,148,985,590","58,683","2,055,789,887","23,430","2,259,495,346","25,752","12,559,164,233","143,137","45,667"
44, แม่ฮ่องสอน ,"56,294","178,543","1,019,197,490","18,105","2,805,021,927","49,828","640,729,141","11,382","697,668,506","12,393","5,162,617,076","91,708","28,915"
45, ยโสธร ,"128,173","416,923","3,898,746,432","30,418","6,563,301,076","51,207","2,044,656,195","15,952","3,475,856,972","27,118","15,982,560,654","124,695","38,335"
46, ยะลา ,"103,107","345,264","2,442,520,910","23,689","8,058,027,435","78,152","2,306,857,070","22,373","924,822,203","8,970","13,732,227,606","133,184","39,773"
47, ร้อยเอ็ด ,"290,033","968,007","10,087,198,385","34,779","16,208,235,225","55,884","5,691,662,206","19,624","9,352,855,301","32,248","41,339,941,111","142,535","42,706"
48, ระนอง ,"46,435","123,606","1,797,008,902","38,699","2,962,668,243","63,802","783,333,848","16,869","526,831,223","11,346","6,069,842,201","130,717","49,106"
49, ระยอง ,"155,329","418,813","4,165,314,947","26,816","20,363,019,325","131,096","3,665,686,113","23,599","1,850,122,222","11,911","30,044,142,621","193,423","71,736"
50, ราชบุรี ,"162,638","551,418","5,922,603,892","36,416","16,604,960,301","102,098","3,441,938,550","21,163","1,176,095,416","7,231","27,145,598,133","166,908","49,229"
51, ลพบุรี ,"184,246","538,517","7,039,134,967","38,205","14,393,136,433","78,119","3,573,105,980","19,393","2,694,766,272","14,626","27,700,143,662","150,343","51,438"
52, ลำปาง ,"209,458","575,398","4,490,515,465","21,439","14,914,350,035","71,204","3,677,375,482","17,557","3,395,668,569","16,212","26,477,885,600","126,411","46,017"
53, ลำพูน ,"114,347","340,524","3,396,346,592","29,702","9,536,454,680","83,399","1,967,352,605","17,205","2,112,148,709","18,471","17,012,302,665","148,778","49,959"
54, เลย ,"155,650","505,324","6,140,750,794","39,452","7,935,538,978","50,983","2,283,094,062","14,668","5,099,386,858","32,762","21,458,538,698","137,864","42,465"
55, ศรีสะเกษ ,"272,223","999,598","9,342,253,829","34,318","12,738,341,464","46,794","4,754,444,821","17,465","9,860,522,708","36,222","36,695,742,828","134,800","36,711"
56, สกลนคร ,"248,503","801,904","7,570,867,807","30,466","12,517,165,046","50,370","4,639,901,243","18,671","5,468,371,993","22,005","30,196,306,122","121,513","37,656"
57, สงขลา ,"291,578","916,720","9,112,589,541","31,253","30,415,781,104","104,314","5,811,902,708","19,933","3,971,988,053","13,622","49,312,121,330","169,122","53,792"
58, สตูล ,"69,399","242,288","1,873,663,342","26,998","5,374,792,752","77,448","1,263,051,823","18,200","755,070,052","10,880","9,266,578,005","133,526","38,246"
59, สมุทรปราการ ,"307,386","609,178","3,000,760,895","9,762","39,980,361,579","130,066","3,944,231,928","12,832","2,023,195,197","6,582","48,947,967,652","159,239","80,351"
60, สมุทรสงคราม ,"44,961","136,122","1,115,808,716","24,817","4,287,152,512","95,353","621,982,791","13,834","193,766,066","4,310","6,218,710,114","138,313","45,685"
61, สมุทรสาคร ,"117,039","345,890","2,304,063,600","19,686","18,908,121,630","161,554","1,880,640,471","16,068","526,181,997","4,496","23,619,001,789","201,805","68,285"
62, สระแก้ว ,"117,731","344,198","4,483,804,886","38,085","6,781,313,882","57,600","2,209,183,021","18,765","2,245,363,186","19,072","15,721,297,973","133,536","45,675"
63, สระบุรี ,"137,763","445,038","5,887,732,046","42,738","14,670,235,304","106,489","3,414,858,556","24,788","2,473,787,966","17,957","26,446,233,808","191,969","59,425"
64, สิงห์บุรี ,"51,807","158,580","2,117,098,100","40,865","4,347,688,730","83,921","946,500,357","18,270","607,940,725","11,735","8,019,227,903","154,790","50,569"
65, สุโขทัย ,"135,263","417,163","5,947,073,333","43,967","7,559,082,095","55,884","2,199,543,201","16,261","3,546,096,486","26,216","19,251,795,108","142,329","46,149"
66, สุพรรณบุรี ,"214,583","663,891","10,644,103,436","49,604","16,061,871,722","74,852","4,782,350,414","22,287","2,195,965,989","10,234","33,684,257,522","156,975","50,738"
67, สุราษฎร์ธานี ,"205,257","633,808","8,880,273,214","43,264","18,235,490,477","88,842","3,770,709,211","18,371","3,662,386,597","17,843","34,548,846,461","168,320","54,510"
68, สุรินทร์ ,"265,283","916,095","9,633,326,964","36,313","15,268,606,233","57,556","4,880,702,225","18,398","9,941,824,128","37,476","39,724,419,569","149,744","43,363"
69, หนองคาย ,"100,933","334,916","3,326,640,827","32,959","6,315,823,363","62,574","2,206,547,481","21,862","2,109,344,377","20,898","13,958,356,057","138,293","41,677"
70, หนองบัวลำภู ,"102,024","358,828","3,664,699,121","35,920","4,952,847,995","48,546","1,717,840,044","16,838","2,502,770,240","24,531","12,838,157,418","125,835","35,778"
71, อ่างทอง ,"71,170","213,095","2,315,668,375","32,537","5,698,022,672","80,062","1,359,185,600","19,098","892,886,355","12,546","10,265,763,008","144,243","48,175"
72, อำนาจเจริญ ,"84,774","269,873","2,554,630,793","30,135","3,649,902,909","43,055","1,435,025,072","16,928","2,991,387,816","35,287","10,630,936,557","125,403","39,392"
73, อุดรธานี ,"330,498","1,116,953","12,112,744,006","36,650","25,725,070,222","77,837","8,268,404,329","25,018","8,442,734,393","25,545","54,548,752,859","165,050","48,837"
74, อุตรดิตถ์ ,"118,271","322,564","4,081,313,748","34,508","6,584,301,107","55,671","1,838,374,520","15,544","2,247,781,070","19,005","14,751,770,428","124,729","45,733"
75, อุทัยธานี ,"83,713","240,057","3,740,779,138","44,686","4,602,751,485","54,983","1,158,368,277","13,837","2,299,172,405","27,465","11,801,071,285","140,971","49,159"
76, อุบลราชธานี ,"367,651","1,307,855","12,273,014,001","33,382","17,747,416,331","48,272","7,151,538,469","19,452","11,035,799,789","30,017","48,206,911,377","131,121","36,860"
, รวม ,"12,953,401","40,181,480","426,242,537,229","32,906","1,001,912,763,687","77,347","249,268,392,449","19,243","251,641,174,527","19,427","1,929,059,641,977","148,923","48,009"
,,,,,,,,,,,,,,
, ที่มา : ผลการจัดเก้บข้อมูลความจำเป็นพื้นฐาน (จปฐ.) ปี 2558 ,,,,,,,,,,,,,
, รวบรวมโดย ศูนย์สารสนเทศเพื่อการพัฒนาชุมชน กรมการพัฒนาชุมชน กระทรวงมหาดไทย ,,,,,,,,,,,,,
, ภายใต้ คณะกรรมการอำนวยการงานพัฒนาคุณภาพชีวิตของประชาชน (พชช.) ,,,,,,,,,,,,,
